,Question,Options,Answer
0,What is the correct file extension for Python files?,"['a) .py', 'b) .python', 'c) .pyt', 'd) .pt']",A
1,What is the correct syntax to output 'Hello World' in Python?,"[""a) echo('Hello World')"", ""b) print('Hello World')"", ""c) p('Hello World')"", ""d) printf('Hello World')""]",B
2,Which of the following is a valid variable name in Python?,"['a) 2variable', 'b) variable _ name', 'c) variable-name', 'd) variable.name']",B
3,What is the output of the following code? print(4 + 3 * 2),"['a) 14', 'b) 10', 'c) 16', 'd) 11']",B
4,Which of the following is NOT a valid Python data type?,"['a) List', 'b) Tuple', 'c) Set', 'd) Array']",D
5,How do you start a while loop in Python?,"['a) while (x < 10):', 'b) while x < 10', 'c) while {x < 10}:', 'd) while x < 10:']",A
6,What is the correct way to create a list in Python?,"['a) list = ()', 'b) list = {}', 'c) list = []', 'd) list = <>']",C
7,What does the len() function do in Python?,"['a) Returns the length of a list', 'b) Returns the number of variables', 'c) Counts characters in a string', 'd) Returns the type of a variable']",A
8,How do you create a comment in Python?,"['a) /* This is a comment */', 'b) <!-- This is a comment -->', 'c) // This is a comment', 'd) # This is a comment']",D
9,Which of these data types is immutable in Python?,"['a) List', 'b) Dictionary', 'c) Set', 'd) Tuple']",D
10,Which operator is used for exponentiation in Python?,"['a) ^', 'b) **', 'c) %', 'd) //']",B
11,How do you create a tuple in Python?,"['a) tuple = []', 'b) tuple = {}', 'c) tuple = ()', 'd) tuple = <>']",C
12,How do you start a function in Python?,"['a) function myFunc():', 'b) def myFunc():', 'c) def myFunc:', 'd) func myFunc():']",B
13,What will the following expression return? 3 == 3.0,"['a) True', 'b) False', 'c) Error', 'd) None']",A
14,How do you convert a string s to all uppercase letters in Python?,"['a) s.upper()', 'b) s.toUpper()', 'c) s.upcase()', 'd) s.uppercase()']",A
15,How do you create an infinite loop in Python?,"['a) while True:', 'b) for True:', 'c) while (True){}', 'd) while(1 == 1)']",A
16,Which Python function can be used to generate random numbers?,"['a) random.randint()', 'b) random.number()', 'c) random.generate()', 'd) random.num()']",A
17,Which of the following is NOT a loop in Python?,"['a) for', 'b) foreach', 'c) while', 'd) None of the above']",B
18,Which method is used to get user input in Python?,"['a) input()', 'b) scan()', 'c) get()', 'd) read()']",A
19,What is the result of the following code? print(10/3),"['a) 3', 'b) 3.3333', 'c) 3.0', 'd) 3.33']",B
20,Which operator is used to compare two values in Python?,"['a) ==', 'b) =', 'c) ===', 'd) ><']",A
21,Which of the following is a Python keyword?,"['a) eval', 'b) for', 'c) print', 'd) input']",B
22,What does the range() function do in Python?,"['a) Generates a list of numbers', 'b) Returns a range object', 'c) Returns the range of a variable', 'd) None of the above']",B
23,What does the append() method do in Python?,"['a) Adds an element at the beginning of a list', 'b) Adds an element to the end of a list', 'c) Removes an element from a list', 'd) Sorts the list']",B
24,Which keyword is used to create a class in Python?,"['a) def', 'b) function', 'c) class', 'd) method']",C
25,Which of the following is used to define a block of code in Python?,"['a) Curly brackets', 'b) Parentheses', 'c) Indentation', 'd) Semicolons']",C
26,What is the result of the following expression? 4 % 2,"['a) 0', 'b) 1', 'c) 2', 'd) Error']",A
27,What will the following code output? print(type([])),"[""a) <class 'list'>"", ""b) <class 'tuple'>"", ""c) <class 'array'>"", ""d) <class 'set'>""]",A
28,"What is the output of the following code? x = [1, 2, 3] print(len(x))","['a) 1', 'b) 2', 'c) 3', 'd) 4']",C
29,What is the correct way to declare a variable in Python?,"['a) var x = 10', 'b) int x = 10', 'c) x = 10', 'd) let x = 10']",C
30,Which of the following is NOT a valid Python data structure?,"['a) List', 'b) Stack', 'c) Set', 'd) Dictionary']",B
31,How do you create a set in Python?,"['a) set = []', 'b) set = {}', 'c) set = ()', 'd) set = set()']",D
32,What is the result of the following expression? 10 != 9,"['a) True', 'b) False', 'c) None', 'd) Error']",A
33,"What is the output of the following code? print(min(4, 12, 7, 3))","['a) 12', 'b) 7', 'c) 4', 'd) 3']",D
34,Who developed Python Programming Language?,"['a) Wick van Rossum', 'b) Rasmus Lerdorf', 'c) Guido van Rossum', 'd) Niene Stom']",C
35,Which type of Programming does Python support?,"['a) object-oriented programming', 'b) structured programming', 'c) functional programming', 'd) all of the mentioned']",D
36,What will be the output of the following Python program? i = 0 while i < 5: print(i) i += 1 if i == 3: break else: print(0),"['a) Error', 'b) 0 1 2 0', 'c) 0 1 2', 'd) none of the mentioned']",C
37,All keywords in Python are in ___,"['a) Capitalized', 'b) lower case', 'c) UPPER CASE', 'd) None of the mentioned']",D
38,Is Python code compiled or interpreted?,"['a) Python code is both compiled and interpreted', 'b) Python code is neither compiled nor interpreted', 'c) Python code is only compiled', 'd) Python code is only interpreted']",A
39,What is the order of namespaces in which Python looks for an identifier?,"['a) Python first searches the built-in namespace, then the global namespace and finally the local namespace', 'b) Python first searches the built-in namespace, then the local namespace and finally the global namespace', 'c) Python first searches the local namespace, then the global namespace and finally the built-in namespace', 'd) Python first searches the global namespace, then the local namespace and finally the built-in namespace']",C
40,Which of the following is not a core data type in Python programming?,"['a) Tuples', 'b) Lists', 'c) Class', 'd) Dictionary']",C
41,What will be the output of the following Python expression if x=56.236? print('%.2f'%x),"['a) 56.236', 'b) 56.23', 'c) 56.0000', 'd) 56.24']",D
42,Which of these is the definition for packages in Python?,"['a) A set of main modules', 'b) A folder of python modules', 'c) A number of files containing Python definitions and statements', 'd) A set of programs making use of Python modules']",B
43,"What will be the output of the following Python function? len(['hello',2, 4, 6])","['a) Error', 'b) 6', 'c) 4', 'd) 3']",C
44,Which function is called when the following Python program is executed? f = foo() format(f),"['a) str()', 'b) format()', 'c) _str()', 'd) __format_()']",C
45,Which one of the following is not a keyword in Python language?,"['a) pass', 'b) eval', 'c) assert', 'd) nonlocal']",B
46,Which module in the python standard library parses options received from the command line?,"['a) getarg', 'b) getopt', 'c) main', 'd) os']",B
47,"What will be the output of the following Python program? z=set('abc') z.add('san') z.update(set(['p', 'q'])) z","[""a) {'a', 'c', 'c', 'p', 'q', 's', 'a', 'n'}"", ""b) {'abc', 'p', 'q', 'san'}"", ""c) {'a', 'b', 'c', 'p', 'q', 'san'}"", ""d) {'a', 'b', 'c', ['p', 'q'], 'san'}""]",C
48,What arithmetic operators cannot be used with strings in Python?,"['a) *', 'b) -', 'c) +', 'd) All of the mentioned']",B
